"DateTime","Temperature","Light"
"11/17/13 5:01:00 PM","6",""
"11/17/13 9:01:00 PM","3.5",""
"11/18/13 1:01:00 AM","3",""
"11/18/13 5:01:00 AM","2",""
"11/18/13 9:01:00 AM","1.5",""
"11/18/13 1:01:00 PM","2",""
"11/18/13 5:01:00 PM","5",""
"11/18/13 9:01:00 PM","3",""
"11/19/13 1:01:00 AM","2.5",""
"11/19/13 5:01:00 AM","2",""
"11/19/13 9:01:00 AM","2",""
"11/19/13 1:01:00 PM","4",""
"11/19/13 5:01:00 PM","5",""
"11/19/13 9:01:00 PM","4",""
"11/20/13 1:01:00 AM","3",""
"11/20/13 5:01:00 AM","2.5",""
"11/20/13 9:01:00 AM","2",""
"11/20/13 1:01:00 PM","5",""
"11/20/13 5:01:00 PM","4.5",""
"11/20/13 9:01:00 PM","3.5",""
"11/21/13 1:01:00 AM","3.5",""
"11/21/13 5:01:00 AM","3.5",""
"11/21/13 9:01:00 AM","3.5",""
"11/21/13 1:01:00 PM","5",""
"11/21/13 5:01:00 PM","5.5",""
"11/21/13 9:01:00 PM","4.5",""
"11/22/13 1:01:00 AM","4",""
"11/22/13 5:01:00 AM","3.5",""
"11/22/13 9:01:00 AM","3.5",""
"11/22/13 1:01:00 PM","5",""
"11/22/13 5:01:00 PM","4.5",""
"11/22/13 9:01:00 PM","4",""
"11/23/13 1:01:00 AM","3.5",""
"11/23/13 5:01:00 AM","3.5",""
"11/23/13 9:01:00 AM","3",""
"11/23/13 1:01:00 PM","4",""
"11/23/13 5:01:00 PM","4.5",""
"11/23/13 9:01:00 PM","3.5",""
"11/24/13 1:01:00 AM","3",""
"11/24/13 5:01:00 AM","2.5",""
"11/24/13 9:01:00 AM","2.5",""
"11/24/13 1:01:00 PM","2.5",""
"11/24/13 5:01:00 PM","2.5",""
"11/24/13 9:01:00 PM","2.5",""
"11/25/13 1:01:00 AM","2",""
"11/25/13 5:01:00 AM","2",""
"11/25/13 9:01:00 AM","2",""
"11/25/13 1:01:00 PM","2",""
"11/25/13 5:01:00 PM","2",""
"11/25/13 9:01:00 PM","2",""
"11/26/13 1:01:00 AM","2",""
"11/26/13 5:01:00 AM","2",""
"11/26/13 9:01:00 AM","2",""
"11/26/13 1:01:00 PM","2",""
"11/26/13 5:01:00 PM","2.5",""
"11/26/13 9:01:00 PM","2",""
"11/27/13 1:01:00 AM","2",""
"11/27/13 5:01:00 AM","1.5",""
"11/27/13 9:01:00 AM","0.5",""
"11/27/13 1:01:00 PM","1",""
"11/27/13 5:01:00 PM","1",""
"11/27/13 9:01:00 PM","1.5",""
"11/28/13 1:01:00 AM","1.5",""
"11/28/13 5:01:00 AM","0.5",""
"11/28/13 9:01:00 AM","0",""
"11/28/13 1:01:00 PM","0.5",""
"11/28/13 5:01:00 PM","1.5",""
"11/28/13 9:01:00 PM","1",""
"11/29/13 1:01:00 AM","1",""
"11/29/13 5:01:00 AM","0.5",""
"11/29/13 9:01:00 AM","0",""
"11/29/13 1:01:00 PM","0.5",""
"11/29/13 5:01:00 PM","1.5",""
"11/29/13 9:01:00 PM","1.5",""
"11/30/13 1:01:00 AM","1",""
"11/30/13 5:01:00 AM","0.5",""
"11/30/13 9:01:00 AM","0.5",""
"11/30/13 1:01:00 PM","1",""
"11/30/13 5:01:00 PM","2",""
"11/30/13 9:01:00 PM","1.5",""
"12/1/13 1:01:00 AM","1.5",""
"12/1/13 5:01:00 AM","0.5",""
"12/1/13 9:01:00 AM","0",""
"12/1/13 1:01:00 PM","0.5",""
"12/1/13 5:01:00 PM","1",""
"12/1/13 9:01:00 PM","1",""
"12/2/13 1:01:00 AM","0.5",""
"12/2/13 5:01:00 AM","-0.5",""
"12/2/13 9:01:00 AM","-0.5",""
"12/2/13 1:01:00 PM","0.5",""
"12/2/13 5:01:00 PM","0.5",""
"12/2/13 9:01:00 PM","0.5",""
"12/3/13 1:01:00 AM","1",""
"12/3/13 5:01:00 AM","0.5",""
"12/3/13 9:01:00 AM","0",""
"12/3/13 1:01:00 PM","0.5",""
"12/3/13 5:01:00 PM","1.5",""
"12/3/13 9:01:00 PM","1.5",""
"12/4/13 1:01:00 AM","2",""
"12/4/13 5:01:00 AM","1.5",""
"12/4/13 9:01:00 AM","1.5",""
"12/4/13 1:01:00 PM","1.5",""
"12/4/13 5:01:00 PM","2",""
"12/4/13 9:01:00 PM","1.5",""
"12/5/13 1:01:00 AM","1.5",""
"12/5/13 5:01:00 AM","1.5",""
"12/5/13 9:01:00 AM","1.5",""
"12/5/13 1:01:00 PM","1.5",""
"12/5/13 5:01:00 PM","1.5",""
"12/5/13 9:01:00 PM","1.5",""
"12/6/13 1:01:00 AM","1",""
"12/6/13 5:01:00 AM","1",""
"12/6/13 9:01:00 AM","1",""
"12/6/13 1:01:00 PM","0.5",""
"12/6/13 5:01:00 PM","1",""
"12/6/13 9:01:00 PM","0.5",""
"12/7/13 1:01:00 AM","0.5",""
"12/7/13 5:01:00 AM","0.5",""
"12/7/13 9:01:00 AM","0.5",""
"12/7/13 1:01:00 PM","0.5",""
"12/7/13 5:01:00 PM","0.5",""
"12/7/13 9:01:00 PM","0.5",""
"12/8/13 1:01:00 AM","0.5",""
"12/8/13 5:01:00 AM","0.5",""
"12/8/13 9:01:00 AM","0.5",""
"12/8/13 1:01:00 PM","0.5",""
"12/8/13 5:01:00 PM","1",""
"12/8/13 9:01:00 PM","1",""
"12/9/13 1:01:00 AM","0.5",""
"12/9/13 5:01:00 AM","0.5",""
"12/9/13 9:01:00 AM","0.5",""
"12/9/13 1:01:00 PM","0.5",""
"12/9/13 5:01:00 PM","0.5",""
"12/9/13 9:01:00 PM","0.5",""
"12/10/13 1:01:00 AM","0",""
"12/10/13 5:01:00 AM","0",""
"12/10/13 9:01:00 AM","0",""
"12/10/13 1:01:00 PM","0",""
"12/10/13 5:01:00 PM","0",""
"12/10/13 9:01:00 PM","0",""
"12/11/13 1:01:00 AM","0",""
"12/11/13 5:01:00 AM","0",""
"12/11/13 9:01:00 AM","-0.5",""
"12/11/13 1:01:00 PM","0",""
"12/11/13 5:01:00 PM","0",""
"12/11/13 9:01:00 PM","0",""
"12/12/13 1:01:00 AM","0",""
"12/12/13 5:01:00 AM","-0.5",""
"12/12/13 9:01:00 AM","-0.5",""
"12/12/13 1:01:00 PM","0",""
"12/12/13 5:01:00 PM","0",""
"12/12/13 9:01:00 PM","0",""
"12/13/13 1:01:00 AM","0",""
"12/13/13 5:01:00 AM","0",""
"12/13/13 9:01:00 AM","0",""
"12/13/13 1:01:00 PM","0",""
"12/13/13 5:01:00 PM","0.5",""
"12/13/13 9:01:00 PM","0",""
"12/14/13 1:01:00 AM","0",""
"12/14/13 5:01:00 AM","-0.5",""
